"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Colombo","pelawatta","400","100.00"
"Colombo","Colombo","Pitakotte","400","100.00"
"Colombo","Colombo","Nawala","400","100.00"
"Colombo","Colombo","Udahamulla","400","100.00"
"Colombo","Colombo","Sedawatta","400","100.00"
"Colombo","Colombo","Wijerama","400","100.00"
"Colombo","Colombo","Welikada","400","100.00"
"Colombo","Colombo","pagoda","400","100.00"
"Colombo","Colombo","Obesekarapura","400","100.00"
"Colombo","Colombo","Jambugasmulla","400","100.00"
"Colombo","Colombo","Gangodawila","400","100.00"
"Colombo","Colombo","Embuldeniya","400","100.00"
"Colombo","Colombo","Delkanda","400","100.00"
"Colombo","Colombo","Beddagana","400","100.00"
"Colombo","Colombo","Sedawatte","400","100.00"
"Colombo","Colombo","Sedawaththa","400","100.00"
"Colombo","Colombo","Kotikawtta","400","100.00"
"Colombo","Colombo","Kotikawatta","400","100.00"
"Colombo","Colombo","Kotikawaththa","400","100.00"
"Colombo","Colombo","Talangama","400","100.00"
"Colombo","Colombo","Thalangama","400","100.00"
"Colombo","Colombo","Sri Jayawardenapura Kotte","400","100.00"
"Colombo","Colombo","ambathale","400","100.00"
"Colombo","Colombo","Rajagiriya Road","400","100.00"
"Colombo","Colombo","Nugegoda Road","400","100.00"
"Colombo","Colombo","Nawala road","400","100.00"
"Colombo","Colombo","Narahenpita Road","400","100.00"
"Colombo","Colombo","Obeysekarapura","400","100.00"
"Colombo","Colombo","Buthgamuwa","400","100.00"
"Colombo","Colombo","Buthgamuwa road","400","100.00"
"Colombo","Colombo","Madinnagoda","400","100.00"
"Colombo","Colombo","Kalapaluwawa","400","100.00"
"Colombo","Colombo","Aggona","400","100.00"
"Colombo","Colombo","Kohilawatta","400","100.00"
"Colombo","Colombo","IDH","400","100.00"
"Colombo","Colombo","IDH Hospital Road","400","100.00"
"Colombo","Colombo","Udumulla Road","400","100.00"
"Colombo","Colombo","Salmal Uyana","400","100.00"
"Colombo","Colombo","Angoda Hospital Road","400","100.00"
"Colombo","Colombo","Meethotamulla","400","100.00"
"Colombo","Colombo","Salamulla","400","100.00"
"Colombo","Colombo","Thalahena","400","100.00"
"Colombo","Colombo","Wickremasinghe Pura","400","100.00"
"Colombo","Colombo","Kimbulawala","400","100.00"
"Colombo","Colombo","Thalawathugoda","400","100.00"
"Colombo","Colombo","Kalalgoda","400","100.00"
"Colombo","Colombo","Vidyala Junction","400","100.00"
"Colombo","Colombo","Horahena","400","100.00"
"Colombo","Colombo","Wijerama Junction","400","100.00"
"Colombo","Colombo","Ethul Kotte","400","100.00"
"Colombo","Colombo","Orugodawatta","400","100.00"
"Colombo","Colombo","Sri Jayawardenepura","400","100.00"
"Colombo","Colombo","Malabe","425","100.00"
"Colombo","Colombo","Navagamuwa","425","100.00"
"Colombo","Colombo","Ranala","425","100.00"
"Colombo","Gampaha","Biyagama IPZ","425","100.00"
"Colombo","Gampaha","Heiyanthuduwa","425","100.00"
